subject,body,label
"Actualiza tu cuenta","Tu cuenta ha sido bloqueada por seguridad. Ingresa aquí para reactivarla: http://bit.ly/reactiva",1
"Ganaste un premio","Felicidades! Reclama tu premio ahora llenando este formulario.",1
"Verificación de acceso","Tu sesión ha expirado. Vuelve a iniciar para evitar suspensión.",1
"Factura de tu compra","Adjuntamos la factura de tu compra reciente en Amazon.",0
"Reunión de equipo","Hola, te recuerdo la reunión semanal mañana a las 10 AM.",0
"Resumen mensual","Adjunto el reporte de ventas del mes para revisión.",0
"Tu cuenta de Netflix","Tu suscripción fue renovada exitosamente.",0
"Urgente: problema con tu cuenta bancaria","Tu cuenta será bloqueada en 24 horas. Verifica tus datos en http://phish-site.tk",1
"Actualización del sistema","El sistema requiere mantenimiento el sábado, no se requiere acción del usuario.",0
"Confirmar información","Confirma tus datos personales en este enlace para evitar cierre de cuenta.",1
